#13 matrices: 7 with percentages and 6 with gene counts

#Three different gene counts:
# DISTINCT  : always count a maximum 1
# SEMI      : Counts gene copies of genome A up to number of copies in genome B.
# EVERYTHING: Count all genes of genome A as long as the other genome has a copy.

#Percentages of genes shared between two genomes. Gene counts are divided either by the sum of one or both genomes
#1 Percentage SEMI gene counts. Derived from #11 & #12
#2 Percentage SEMI gene counts, genome left column. Derived from #11 & #11 diagonal
#3 Percentage DISTINCT gene counts. Derived from #7 & #8
#4 Percentage DISTINCT based on genome in left column. Derived from #7 & #7 diagonal
#5 Percentage informative DISTINCT based on both genomes. Derived from #9 & #10
#6 Percentage EVERYTHING gene counts based on genome in left column. Derived from #13 & #13 diagonal

#Gene counts between two genomes
#7 shared DISTINCT genes
#8 unshared DISTINCT genes
#9 shared informative DISTINCT genes
#10 unshared informative DISTINCT genes
#11 SEMI shared genes
#12 SEMI unshared genes
#13 EVERYTHING shared genes


#1 Percentage based on SEMI gene counts of both genomes (#11 & #12)
Genomes,1,10,11,12,13,14,15,16,2,3,4,5,6,7,8,9
1,0,45.32,45.74,45.50,45.57,44.06,48.06,48.43,19.37,46.15,44.89,45.74,45.48,45.60,45.87,47.10
10,45.32,0,55.67,56.35,56.01,54.74,57.02,43.40,21.43,52.08,46.54,56.41,55.76,56.63,56.26,56.82
11,45.74,55.67,0,57.35,57.24,54.90,56.95,44.25,21.34,50.90,47.09,57.13,57.13,56.47,56.48,56.83
12,45.50,56.35,57.35,0,58.42,54.55,56.49,44.95,21.55,51.20,46.96,58.51,56.89,56.77,57.99,57.22
13,45.57,56.01,57.24,58.42,0,54.57,56.50,44.34,21.54,51.19,46.83,57.99,56.55,56.53,57.42,56.82
14,44.06,54.74,54.90,54.55,54.57,0,54.98,42.42,20.48,48.78,44.94,54.79,54.83,55.56,54.80,54.77
15,48.06,57.02,56.95,56.49,56.50,54.98,0,43.76,21.79,51.65,47.33,57.54,56.66,57.39,57.02,59.16
16,48.43,43.40,44.25,44.95,44.34,42.42,43.76,0,18.75,44.44,42.63,45.60,43.82,43.75,45.60,44.87
2,19.37,21.43,21.34,21.55,21.54,20.48,21.79,18.75,0,26.01,19.91,21.71,21.33,21.60,22.20,22.26
