27622715.fna	27622715.fna	0	0	1000/1000
Bnigra_C2.v1.genome.fna	27622715.fna	0.11478	1.98861e-117	47/1000
Bnigra_NI100.v2.genome.fna	27622715.fna	0.119909	1.41722e-103	42/1000
GCA_038677285.1_ASM3867728v1_genomic.fna	27622715.fna	0.0236777	0	437/1000
GCA_040550855.1_C4012_genomic.fna	27622715.fna	0.028588	0	378/1000
GCA_040584065.1_ASM4058406v1_genomic.fna	27622715.fna	0.0284967	0	379/1000
GCF_000309985.2_CAAS_Brap_v3.01_genomic.fna	27622715.fna	0.0613264	0	160/1000
GCF_000695525.1_BOL_genomic.fna	27622715.fna	0.0124935	0	625/1000
GCF_020379485.1_Da-Ae_genomic.fna	27622715.fna	0.0239063	0	434/1000
GWHBKKZ00000000.genome.fna	27622715.fna	0.00502299	0	818/1000
GWHBKLA00000000.genome.fna	27622715.fna	0.00956826	0	692/1000
GWHDTWX00000000.genome.fna	27622715.fna	0.0127767	0	619/1000
GWHDTYA00000000.genome.fna	27622715.fna	0.0130157	0	614/1000
GWHDTYE00000000.genome.fna	27622715.fna	0.0113529	0	650/1000
GWHDTYJ00000000.genome.fna	27622715.fna	0.0127767	0	619/1000
GWHDTYK00000000.genome.fna	27622715.fna	0.0104835	0	670/1000
GWHDTYL00000000.genome.fna	27622715.fna	0.012872	0	617/1000
GWHDTYM00000000.genome.fna	27622715.fna	0.0026025	0	899/1000
GWHDUBH00000000.genome.fna	27622715.fna	0.0134036	0	606/1000
GWHDUBI00000000.genome.fna	27622715.fna	0.0134525	0	605/1000
GWHDUBL00000000.genome.fna	27622715.fna	0.0143027	0	588/1000
GWHDUBP00000000.genome.fna	27622715.fna	0.011621	0	644/1000
GWHDUBS00000000.genome.fna	27622715.fna	0.00502299	0	818/1000
GWHERGL00000000.genome.fna	27622715.fna	0.0603145	0	164/1000
GWHFIKA00000000.1.genome.fna	27622715.fna	0.0733545	0	120/1000
GWHFQTP00000000.1.genome.fna	27622715.fna	0.0751681	4.25395e-318	115/1000
OX_heart_genome_wrapped.fna	27622715.fna	0.0131603	0	611/1000
27622715.fna	Bnigra_C2.v1.genome.fna	0.11478	1.98861e-117	47/1000
Bnigra_C2.v1.genome.fna	Bnigra_C2.v1.genome.fna	0	0	1000/1000
Bnigra_NI100.v2.genome.fna	Bnigra_C2.v1.genome.fna	0.0204123	0	483/1000
GCA_038677285.1_ASM3867728v1_genomic.fna	Bnigra_C2.v1.genome.fna	0.115759	1.57093e-109	46/1000
GCA_040550855.1_C4012_genomic.fna	Bnigra_C2.v1.genome.fna	0.0371871	0	297/1000
GCA_040584065.1_ASM4058406v1_genomic.fna	Bnigra_C2.v1.genome.fna	0.0368186	0	300/1000
GCF_000309985.2_CAAS_Brap_v3.01_genomic.fna	Bnigra_C2.v1.genome.fna	0.113823	1.84475e-125	48/1000
GCF_000695525.1_BOL_genomic.fna	Bnigra_C2.v1.genome.fna	0.11478	1.06394e-118	47/1000
GCF_020379485.1_Da-Ae_genomic.fna	Bnigra_C2.v1.genome.fna	0.11478	2.4127e-112	47/1000
GWHBKKZ00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.112887	1.2923e-123	49/1000
GWHBKLA00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.11197	3.5285e-126	50/1000
GWHDTWX00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.11676	1.56835e-111	45/1000
GWHDTYA00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.113823	2.07406e-120	48/1000
GWHDTYE00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.113823	2.37996e-120	48/1000
GWHDTYJ00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.11676	2.02299e-111	45/1000
GWHDTYK00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.11197	4.35558e-126	50/1000
GWHDTYL00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.117785	1.94656e-108	44/1000
GWHDTYM00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.115759	1.29006e-114	46/1000
GWHDUBH00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.11478	1.91721e-117	47/1000
GWHDUBI00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.118834	1.95921e-105	43/1000
GWHDUBL00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.11676	2.74337e-111	45/1000
GWHDUBP00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.111073	1.56078e-128	51/1000
GWHDUBS00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.112887	1.28963e-123	49/1000
GWHERGL00000000.genome.fna	Bnigra_C2.v1.genome.fna	0.112887	9.88857e-126	49/1000
GWHFIKA00000000.1.genome.fna	Bnigra_C2.v1.genome.fna	0.0352724	0	313/1000
GWHFQTP00000000.1.genome.fna	Bnigra_C2.v1.genome.fna	0.0341361	0	323/1000
OX_heart_genome_wrapped.fna	Bnigra_C2.v1.genome.fna	0.11676	2.02337e-111	45/1000
27622715.fna	Bnigra_NI100.v2.genome.fna	0.119909	1.41722e-103	42/1000
Bnigra_C2.v1.genome.fna	Bnigra_NI100.v2.genome.fna	0.0204123	0	483/1000
Bnigra_NI100.v2.genome.fna	Bnigra_NI100.v2.genome.fna	0	0	1000/1000
GCA_038677285.1_ASM3867728v1_genomic.fna	Bnigra_NI100.v2.genome.fna	0.119909	3.62739e-99	42/1000
GCA_040550855.1_C4012_genomic.fna	Bnigra_NI100.v2.genome.fna	0.0376857	0	293/1000
GCA_040584065.1_ASM4058406v1_genomic.fna	Bnigra_NI100.v2.genome.fna	0.0363341	0	304/1000
GCF_000309985.2_CAAS_Brap_v3.01_genomic.fna	Bnigra_NI100.v2.genome.fna	0.119909	6.14837e-108	42/1000
